Products,Price($),URL
ASUS TUF Gaming NVIDIA GeForce RTX 3080 V2 OC Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification GPU Tweak II) and ASUS ROG STRIX 850G 850W Gold Power Supply ROG Hea,1524,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4487243
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 10G OC LHR,1552,https://www.newegg.ca/p/1FT-0009-00704?Description=3080&cm_re=3080-_-1FT-0009-00704-_-Product
ZOTAC TRINITY OC LHR GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card ZT-A30800J-10PLHR,1579,https://www.newegg.ca/zotac-geforce-rtx-3080-zt-a30800j-10plhr/p/N82E16814500520?Description=3080&cm_re=3080-_-14-500-520-_-Product
MSI Ventus GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X 10G OC LHR,1647,https://www.newegg.ca/p/1FT-0009-006M5?Description=3080&cm_re=3080-_-1FT-0009-006M5-_-Product
GIGABYTE Gaming OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080GAMING OC-10GD (rev. 2.0) (LHR),1666,https://www.newegg.ca/gigabyte-geforce-rtx-3080-gv-n3080gaming-oc-10gd/p/N82E16814932459?Description=3080&cm_re=3080-_-14-932-459-_-Product
INNO3D GeForce RTX 3080 Ice Dragon Super Edition (LHR) Graphics Card 10GB 320-bit GDDR6X PCI Express 4.0 1×HDMI 2.1 Interface 3×DisplayPort 1.4a Interface,1719,https://www.newegg.ca/inno3d-geforce-rtx-3080-rtx-3080-ice-dragon-super-edition-lhr/p/1FT-000N-001G0?Description=3080&cm_re=3080-_-1FT-000N-001G0-_-Product
GIGABYTE GeForce RTX 3080 VISION OC 10GB Video Card GV-N3080VISION OC-10GD (REV2.0),1759,https://www.newegg.ca/p/1FT-000A-002F0?Description=3080&cm_re=3080-_-1FT-000A-002F0-_-Product
Rosewill Hive Series 850W Full Modular Gaming Power Supply 80 PLUS Bronze Certified Single +12V Rail SLI CrossFire Ready - Hive-850s and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12GB GDDR6X LHR HDMI 2.1 Dis,1759,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482196
Rosewill - BRONZE Series - 1000-Watt Active PFC Power Supply - Continuous 104 Deg. F (40C) 80 PLUS Bronze Semi-Modular Cable Design ATX 12V v2.3 / EPS 12V SLI CrossFire Ready - RBR1000-MS and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Editi,1774,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482194
ASUS TUF Gaming NVIDIA GeForce RTX 3080 O10G V2 GAMING Edition Graphics Card (PCIe 4.0 10GB GDDR6X LHR HDMI 2.1 DisplayPort 1.4a Dual Ball Fan Bearings Military-grade Certification),1779,https://www.newegg.ca/asus-geforce-rtx-3080-tuf-rtx3080-o10g-v2-gaming/p/1FT-000Y-006C3?Description=3080&cm_re=3080-_-1FT-000Y-006C3-_-Product
GIGABYTE Vision OC GeForce RTX 3080 10GB GDDR6X PCI Express 4.0 ATX Video Card GV-N3080VISION OC-10GD (rev. 2.0) (LHR),1780,https://www.newegg.ca/p/1FT-000A-002M3?Description=3080&cm_re=3080-_-1FT-000A-002M3-_-Product
Rosewill SMG850 80 Plus Gold Certified 850W Fully Modular Power Supply | ATX 12V v2.31 EPS 12V v2.92 | 135mm Quiet Fan | Japanese Capacitors | 5 Year Warranty and ASUS TUF Gaming NVIDIA GeForce RTX 3080 OC Edition Graphics Card (PCIe 4.0 12,1789,https://www.newegg.ca/Product/ComboDealDetails?ItemList=Combo.4482198
MSI Ventus GeForce RTX 3080 12GB GDDR6X PCI Express 4.0 Video Card RTX 3080 VENTUS 3X PLUS 12G OC LHR,1799,https://www.newegg.ca/msi-geforce-rtx-3080-rtx-3080-ventus-3x-plus-12g-oc-lhr/p/N82E16814137712?Description=3080&cm_re=3080-_-14-137-712-_-Product
